"filename", "language", "JavaScript", "CSS", "HTML", "MS SQL", "JSON", "TypeScript", "comment", "blank", "total"
"c:\Users\Gamer\Module Project\admin.html", "HTML", 0, 0, 3982, 0, 0, 0, 49, 757, 4788
"c:\Users\Gamer\Module Project\content.html", "HTML", 0, 0, 2123, 0, 0, 0, 22, 335, 2480
"c:\Users\Gamer\Module Project\dashboard.html", "HTML", 0, 0, 895, 0, 0, 0, 52, 62, 1009
"c:\Users\Gamer\Module Project\index.html", "HTML", 0, 0, 367, 0, 0, 0, 10, 62, 439
"c:\Users\Gamer\Module Project\landing.html", "HTML", 0, 0, 673, 0, 0, 0, 13, 124, 810
"c:\Users\Gamer\Module Project\module.html", "HTML", 0, 0, 1047, 0, 0, 0, 4, 136, 1187
"c:\Users\Gamer\Module Project\modules\module-db.js", "JavaScript", 115, 0, 0, 0, 0, 0, 14, 25, 154
"c:\Users\Gamer\Module Project\modules\module-wrapper.js", "JavaScript", 236, 0, 0, 0, 0, 0, 13, 38, 287
"c:\Users\Gamer\Module Project\modules\shared\module-header.css", "CSS", 0, 418, 0, 0, 0, 0, 5, 68, 491
"c:\Users\Gamer\Module Project\modules\shared\module-header.js", "JavaScript", 560, 0, 0, 0, 0, 0, 36, 103, 699
"c:\Users\Gamer\Module Project\modules\shared\module-theme.css", "CSS", 0, 358, 0, 0, 0, 0, 29, 55, 442
"c:\Users\Gamer\Module Project\package-lock.json", "JSON", 0, 0, 0, 0, 1055, 0, 0, 1, 1056
"c:\Users\Gamer\Module Project\package.json", "JSON", 0, 0, 0, 0, 21, 0, 0, 1, 22
"c:\Users\Gamer\Module Project\src\auth.js", "JavaScript", 69, 0, 0, 0, 0, 0, 11, 19, 99
"c:\Users\Gamer\Module Project\src\daily-quest-system.js", "JavaScript", 1446, 0, 0, 0, 0, 0, 55, 198, 1699
"c:\Users\Gamer\Module Project\src\dashboard-enhanced.js", "JavaScript", 1018, 0, 0, 0, 0, 0, 22, 147, 1187
"c:\Users\Gamer\Module Project\src\dashboard-rewards.js", "JavaScript", 224, 0, 0, 0, 0, 0, 44, 47, 315
"c:\Users\Gamer\Module Project\src\dashboard.js", "JavaScript", 2343, 0, 0, 0, 0, 0, 427, 458, 3228
"c:\Users\Gamer\Module Project\src\database.js", "JavaScript", 854, 0, 0, 0, 0, 0, 75, 160, 1089
"c:\Users\Gamer\Module Project\src\loading-screen.js", "JavaScript", 88, 0, 0, 0, 0, 0, 6, 11, 105
"c:\Users\Gamer\Module Project\src\main.js", "JavaScript", 277, 0, 0, 0, 0, 0, 34, 58, 369
"c:\Users\Gamer\Module Project\src\module-loader.js", "JavaScript", 229, 0, 0, 0, 0, 0, 69, 52, 350
"c:\Users\Gamer\Module Project\src\module-navigation.js", "JavaScript", 37, 0, 0, 0, 0, 0, 49, 8, 94
"c:\Users\Gamer\Module Project\src\module-response-tracker.js", "JavaScript", 292, 0, 0, 0, 0, 0, 39, 42, 373
"c:\Users\Gamer\Module Project\src\module-runtime.js", "JavaScript", 183, 0, 0, 0, 0, 0, 42, 50, 275
"c:\Users\Gamer\Module Project\src\module-sanitizer.js", "JavaScript", 178, 0, 0, 0, 0, 0, 44, 38, 260
"c:\Users\Gamer\Module Project\src\rewards.js", "JavaScript", 191, 0, 0, 0, 0, 0, 36, 43, 270
"c:\Users\Gamer\Module Project\src\stripe.js", "JavaScript", 61, 0, 0, 0, 0, 0, 19, 15, 95
"c:\Users\Gamer\Module Project\src\supabaseClient.js", "JavaScript", 19, 0, 0, 0, 0, 0, 1, 4, 24
"c:\Users\Gamer\Module Project\styles\admin-stylesheet.css", "CSS", 0, 1192, 0, 0, 0, 0, 5, 187, 1384
"c:\Users\Gamer\Module Project\styles\dashboard.css", "CSS", 0, 3132, 0, 0, 0, 0, 87, 512, 3731
"c:\Users\Gamer\Module Project\styles\landing.css", "CSS", 0, 1034, 0, 0, 0, 0, 11, 167, 1212
"c:\Users\Gamer\Module Project\supabase\functions\generate-module\generators.ts", "TypeScript", 0, 0, 0, 0, 0, 2292, 108, 323, 2723
"c:\Users\Gamer\Module Project\supabase\functions\generate-module\index.ts", "TypeScript", 0, 0, 0, 0, 0, 3102, 150, 473, 3725
"c:\Users\Gamer\Module Project\supabase\functions\generate-module\indexold.ts", "TypeScript", 0, 0, 0, 0, 0, 5065, 211, 743, 6019
"c:\Users\Gamer\Module Project\supabase\migrations\009_create_characters_table.sql", "MS SQL", 0, 0, 0, 41, 0, 0, 6, 8, 55
"c:\Users\Gamer\Module Project\vite.config.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 3, 24
"Total", "-", 8441, 6134, 9087, 41, 1076, 10459, 1798, 5533, 42569
